Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
jax_0.2.21,./conftest.py,26,10,9,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,./setup.py,72,11,50,0,0,0,0,0,0,0,0,0,0.0,0,2,100.0
jax_0.2.21,docs/autodidax.py,2873,1732,1622,20,409,261,485,429,746,3634.9049883709226,11.858190709046454,77358.63889353814,4297.702160752119,6523.646042774661,350,0.0
jax_0.2.21,docs/conf.py,282,41,113,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,docs/sphinxext/jax_extensions.py,48,21,20,2,7,5,8,9,13,21.651484454403228,1.1428571428571428,47.09602859285721,2.6164460329365116,41.20902501875006,3,85.08776114584734
jax_0.2.21,build/build_wheel.py,257,155,196,9,25,16,29,34,45,144.62572975734892,5.22,1195.0450214097048,66.39139007831693,228.9358278562653,22,52.129971153942826
jax_0.2.21,build/build.py,521,248,411,18,95,60,113,113,173,699.1949328174017,10.705263157894738,12631.043229750429,701.7246238750238,1179.8909604978276,63,34.61303510488141
jax_0.2.21,tests/x64_context_test.py,160,113,116,6,16,11,19,22,30,79.50977500432694,3.5625,476.60175424186116,26.477875235658953,133.78294855911892,17,58.38398270806981
jax_0.2.21,tests/lax_autodiff_test.py,1074,445,955,16,114,67,131,130,198,842.9494616147806,9.192982456140351,12782.187812935581,710.1215451630878,1390.4288269796339,81,23.038589277700854
jax_0.2.21,tests/lax_numpy_indexing_test.py,1162,514,1005,14,79,113,150,93,263,551.3016480147976,13.291139240506329,22858.084882120038,1269.8936045622243,1719.7987673214125,74,20.668676203382002
jax_0.2.21,tests/metadata_test.py,115,78,80,2,22,21,32,24,53,100.10749561002054,1.4545454545454546,353.4589273283219,19.636607073795663,243.00301253822133,17,64.89295780110568
jax_0.2.21,tests/jet_test.py,414,387,334,14,88,54,97,102,151,621.7329513488886,7.715909090909091,7774.057930534039,431.89210725189105,1007.5362266376958,112,22.285508361314818
jax_0.2.21,tests/sharded_jit_test.py,537,350,400,10,116,87,174,126,261,828.7450763836719,7.5,13658.025450251087,758.7791916806159,1821.0700600334783,52,30.62756967552422
jax_0.2.21,tests/multibackend_test.py,194,131,144,4,24,13,26,28,39,118.03910001730776,2.1666666666666665,406.2214909138675,22.567860606325972,187.48684196024655,18,57.700725309490934
jax_0.2.21,tests/xla_bridge_test.py,88,49,59,7,12,7,12,19,19,62.67103446305711,3.5,282.4871796439984,15.693732202444355,80.71062275542812,10,72.59575073415293
jax_0.2.21,tests/core_test.py,516,382,390,9,124,88,173,133,261,890.8496675009535,6.278225806451613,11560.905283434142,642.2725157463412,1841.4287156658106,76,25.497927055530056
jax_0.2.21,tests/debug_nans_test.py,226,153,158,4,28,15,30,32,45,142.6059378176129,2.142857142857143,482.1428571428571,26.785714285714285,225.0,33,52.21694917863739
