Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
lightning_1.0.0,./setup.py,129,35,83,2,8,4,8,10,12,26.0,1.0,39.863137138648355,2.2146187299249087,39.863137138648355,7,83.2174222062805
lightning_1.0.0,docs/source/conf.py,364,91,159,2,11,10,20,13,30,40.053747805010275,1.8181818181818181,201.84216644405956,11.213453691336642,111.01319154423277,11,68.61307260945297
lightning_1.0.0,tests/__init__.py,13,8,8,1,1,1,1,2,2,0.0,0.5,1.0,0.05555555555555555,2.0,2,97.47869458230909
lightning_1.0.0,tests/conftest.py,57,38,38,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,4,82.96838074622241
lightning_1.0.0,tests/collect_env_details.py,96,55,70,6,30,22,44,36,66,162.7164928725825,4.4,1501.3462204188477,83.40812335660264,341.2150500951926,10,58.331991373171476
lightning_1.0.0,tests/test_deprecated.py,50,35,28,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,12,78.30825047911084
lightning_1.0.0,tests/test_profiler.py,186,97,114,5,11,6,11,16,17,49.663388279447084,2.5,170.0,9.444444444444445,68.0,13,63.05948065337338
lightning_1.0.0,tests/base/deterministic_model.py,504,341,334,13,135,85,169,148,254,1003.4758219376965,8.137037037037038,14900.551619440177,827.8084233022321,1831.201154869753,104,31.074699065894258
lightning_1.0.0,tests/base/mixins.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.0.0,tests/base/simple_model.py,98,59,59,2,4,2,4,6,6,10.0,1.0,15.509775004326936,0.861654166907052,15.509775004326936,21,77.52946995947276
lightning_1.0.0,tests/base/model_optimizers.py,101,56,57,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,13,84.1867575964307
lightning_1.0.0,tests/base/model_template.py,180,73,132,1,4,3,6,5,9,8.0,0.75,15.673014640489694,0.8707230355827608,20.89735285398626,9,71.15272334296984
lightning_1.0.0,tests/base/model_valid_dataloaders.py,42,19,19,0,0,0,0,0,0,0,0,0,0.0,0,8,100.0
lightning_1.0.0,tests/base/model_test_steps.py,204,124,116,6,59,47,90,65,137,362.58571491667556,4.576271186440678,3775.7183966766534,209.76213314870296,825.0643903848983,28,58.46412662703282
lightning_1.0.0,tests/base/model_valid_epoch_ends.py,113,51,45,3,10,5,10,13,15,37.974168451037094,1.5,83.25989365817458,4.625549647676365,55.506595772116384,13,73.06214108270555
lightning_1.0.0,tests/base/model_train_steps.py,217,128,124,7,32,26,43,39,69,179.65148445440323,4.703125,1715.1956044304693,95.28864469058163,364.69275310149516,20,61.49268940023154
lightning_1.0.0,tests/base/model_valid_steps.py,136,70,77,4,30,20,35,34,55,155.20671786825557,2.3333333333333335,652.891064627127,36.271725812618165,279.8104562687687,6,70.70490113359266
lightning_1.0.0,tests/base/__init__.py,6,5,4,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.0.0,tests/base/model_test_dataloaders.py,44,21,20,0,0,0,0,0,0,0,0,0,0.0,0,9,100.0
lightning_1.0.0,tests/base/model_test_epoch_ends.py,88,46,40,2,12,9,18,14,27,45.01955000865388,1.5,154.19787434333296,8.566548574629609,102.7985828955553,10,76.13039752710958
lightning_1.0.0,tests/base/model_utilities.py,40,14,19,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,5,98.19488345103848
lightning_1.0.0,tests/base/develop_pipelines.py,119,61,66,10,22,13,23,32,36,131.32677655889415,5.2272727272727275,940.909090909091,52.27272727272728,180.0,17,70.94912758112815
lightning_1.0.0,tests/base/model_train_dataloaders.py,39,20,17,0,0,0,0,0,0,0,0,0,0.0,0,6,100.0
lightning_1.0.0,tests/base/models.py,222,131,147,5,9,7,12,14,19,40.13896548741762,3.3333333333333335,241.13247839698158,13.39624879983231,72.33974351909447,23,60.07677500848611
lightning_1.0.0,tests/base/dataloaders.py,54,32,30,2,4,4,8,6,12,10.0,2.0,62.039100017307746,3.446616667628208,31.019550008653873,10,84.26511544611714
lightning_1.0.0,tests/base/test_datasets.py,32,11,11,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.0.0,tests/base/datasets.py,243,123,137,8,23,14,25,31,39,128.0419249893113,4.3478260869565215,840.0593743699484,46.66996524277491,193.21365610508815,40,61.683541543764086
lightning_1.0.0,tests/base/develop_utils.py,127,69,70,10,24,15,27,34,42,143.2583809661814,5.625,1201.9130962453928,66.77294979141071,213.67343933251428,11,69.48589006165257
lightning_1.0.0,tests/base/boring_model.py,131,77,71,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,28,78.12458932185297
lightning_1.0.0,tests/base/datamodules.py,115,58,71,4,14,13,26,18,39,61.30296890880645,3.7142857142857144,604.0434216375006,33.55796786875003,162.62707505625016,23,69.01159048430398
lightning_1.0.0,tests/models/test_onnx.py,154,97,97,4,18,11,22,22,33,83.05865002596161,2.4444444444444446,359.72748390340865,19.984860216856035,147.1612434150308,11,61.2772610918034
lightning_1.0.0,tests/models/test_torchscript.py,101,56,69,5,14,13,19,19,32,64.91260938324326,3.392857142857143,461.2035586024464,25.622419922358134,135.93368043019473,15,68.40761289547176
lightning_1.0.0,tests/models/test_hparams.py,556,313,312,7,63,43,82,70,125,396.22011963489797,4.555555555555555,3490.286162426995,193.9047868014997,766.1603771181209,73,42.15688264862396
lightning_1.0.0,tests/models/test_restore.py,462,218,264,8,38,26,46,46,72,223.42124551085624,4.842105263157895,1925.6881261537715,106.98267367520953,397.69646083610496,34,52.87584531829716
lightning_1.0.0,tests/models/test_sync_batchnorm.py,114,60,68,6,12,8,15,18,23,58.52932501298082,3.75,359.65603137439945,19.98089063191108,95.90827503317318,12,71.71637386964596
lightning_1.0.0,tests/models/test_horovod.py,241,97,156,4,21,12,23,25,35,100.23866587835397,2.1904761904761907,356.02897454939557,19.77938747496642,162.53496664211536,15,65.98419952483691
lightning_1.0.0,tests/models/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.0.0,tests/models/test_tpu.py,299,146,214,1,14,7,14,15,21,53.30296890880645,0.5,41.02235125388945,2.279019514104969,82.0447025077789,9,53.86852281546143
lightning_1.0.0,tests/models/test_hooks.py,144,84,97,6,32,24,44,38,68,175.50977500432694,4.125,1472.0436675209257,81.78020375116255,356.8590709141638,16,61.21018206697473
lightning_1.0.0,tests/models/test_gpu.py,328,163,237,2,48,40,80,50,120,270.0782000346155,1.6666666666666667,1128.771237954945,62.70951321971917,677.2627427729669,30,45.80046798614395
lightning_1.0.0,tests/models/test_cpu.py,521,230,358,6,37,26,50,43,76,208.2595495325981,4.054054054054054,1671.8761676649708,92.8820093147206,412.39612135735945,12,47.22605886364228
lightning_1.0.0,tests/models/test_grad_norm.py,114,62,69,6,18,10,19,24,29,90.56842503028855,3.1666666666666665,421.05238964955953,23.39179942497553,132.96391252091354,18,70.21555001839519
lightning_1.0.0,tests/models/test_amp.py,204,89,133,2,28,16,32,30,48,136.6059378176129,1.1428571428571428,269.1779983876673,14.954333243759294,235.53074858920888,17,61.454875391702274
