Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
ray_2.0.0,.buildkite/copy_files.py,124,74,102,6,15,10,19,21,29,74.11313393845472,3.8,484.03337999021943,26.890743332789967,127.37720526058406,10,43.139737372249236
ray_2.0.0,java/test/src/main/resources/test_cross_language_invocation.py,160,96,118,4,24,12,24,28,36,118.03910001730776,2.0,346.1295543881475,19.229419688230415,173.06477719407374,15,55.65658011490191
ray_2.0.0,java/serve/src/test/resources/test_deployment_cross_language_invocation.py,24,14,14,2,4,2,4,6,6,10.0,1.0,15.509775004326936,0.861654166907052,15.509775004326936,3,86.8878208969922
ray_2.0.0,python/setup.py,786,386,593,11,157,101,197,168,298,1183.3092053809958,6.901273885350318,15202.889340248883,844.6049633471602,2202.910591988071,103,28.381020477038625
ray_2.0.0,python/ray/client_builder.py,385,191,244,10,45,25,49,55,74,280.35267028370896,5.444444444444445,2329.2455912489354,129.4025328471631,427.82061880082483,51,53.18202188801036
ray_2.0.0,python/ray/exceptions.py,693,287,415,10,75,46,93,85,139,500.38068273606467,6.2,5523.613108763472,306.86739493130403,890.9053401231407,72,43.14849472322657
ray_2.0.0,python/ray/__init__.py,261,82,201,8,29,15,30,37,45,164.8814488586996,4.137931034482759,970.0361439447012,53.89089688581673,234.42540145330275,18,62.77708768549472
ray_2.0.0,python/ray/types.py,12,6,6,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/actor.py,1392,481,796,11,117,83,149,128,232,841.8864199962686,7.004273504273504,11374.940170940172,631.9411206077873,1624.0,129,30.87579117949234
ray_2.0.0,python/ray/cluster_utils.py,369,162,222,11,38,22,41,49,63,237.47499331586653,5.934210526315789,2099.088826326913,116.61604590705072,353.7267201792581,43,56.82263769369064
ray_2.0.0,python/ray/remote_function.py,404,142,216,10,48,31,56,58,87,301.29748098348915,5.833333333333333,2972.925355027243,165.16251972373573,509.64434657609877,28,59.373737070596064
ray_2.0.0,python/ray/runtime_context.py,363,140,140,6,35,23,36,41,59,195.03468059740075,3.085714285714286,975.3806106693266,54.18781170385148,316.09556827246695,46,53.58617124698711
ray_2.0.0,python/ray/job_config.py,152,74,99,5,16,10,20,21,30,75.60964047443682,3.125,411.77975838550884,22.87665324363938,131.76952268336282,27,66.83479665443949
ray_2.0.0,python/ray/cross_language.py,134,43,71,2,4,3,5,6,8,10.0,1.25,25.84962500721156,1.43609027817842,20.67970000576925,5,83.64121420285129
ray_2.0.0,python/ray/setup-dev.py,122,66,96,6,22,15,24,28,39,113.61727061434748,3.272727272727273,613.5933009608069,34.08851672004483,187.48684196024655,17,63.466405496589694
ray_2.0.0,python/ray/internal/__init__.py,3,2,2,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/iter_metrics.py,69,36,36,1,4,2,4,5,6,8.0,0.5,6.965784284662087,0.3869880158145604,13.931568569324174,10,85.62039758962999
ray_2.0.0,python/ray/util/rpdb.py,350,195,264,6,27,19,32,33,51,143.89173756274062,3.5555555555555554,914.7168003103328,50.817600017240714,257.2641000872811,44,47.72420691868824
ray_2.0.0,python/ray/util/iter.py,1286,611,720,16,180,111,211,196,322,1412.5335573393415,9.377777777777778,22993.71627683891,1277.4286820466061,2451.936569805097,133,26.673621127082566
ray_2.0.0,python/ray/util/timer.py,66,47,46,7,19,12,21,26,33,100.36210720983135,3.8684210526315788,600.0482387553274,33.33601326418486,155.11451069865606,17,67.04321574590543
ray_2.0.0,python/ray/util/placement_group.py,462,175,243,13,51,38,66,64,104,337.3994087763805,8.411764705882353,5248.941176470588,291.6078431372549,624.0,52,53.7439490474619
ray_2.0.0,python/ray/util/__init__.py,68,26,50,0,0,0,0,0,0,0,0,0,0.0,0,4,100.0
ray_2.0.0,python/ray/util/actor_pool.py,346,117,119,9,28,18,31,37,49,163.13526283059372,4.982142857142857,1271.7578028841674,70.65321127134263,255.26321491581857,39,49.47299369282125
ray_2.0.0,python/ray/util/check_serialize.py,245,126,188,9,38,34,58,47,92,227.95057052383706,6.868421052631579,3509.9154606969323,194.9953033720518,511.02217435434267,38,49.14033611867247
ray_2.0.0,python/ray/util/debug.py,58,36,32,4,8,4,8,12,12,32.0,2.0,86.03910001730776,4.779950000961542,43.01955000865388,5,76.79338608744519
