,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,jax_0.1.73,./setup.py,36,6,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,1,1
1,jax_0.1.73,docs/conf.py,308,36,94,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
2,jax_0.1.73,build/setup.py,39,10,21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,100.0,0,0
3,jax_0.1.73,build/build.py,382,174,287,17,67,44,82,84,126,475.9148440619265,10.402985074626866,8378.897025422033,465.4942791901129,805.4319952701237,36,42.72233179670853,1,1
4,jax_0.1.73,build/jaxlib/__init__.py,15,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
5,jax_0.1.73,tests/lax_autodiff_test.py,1062,416,947,16,83,53,99,99,152,593.1282728017948,9.542168674698797,9615.282739176671,534.1823743987039,1007.6622062521006,68,26.809434126642305,0,0
6,jax_0.1.73,tests/lax_numpy_indexing_test.py,1076,396,949,10,50,104,128,60,232,315.41209043760983,12.8,17541.102312719056,974.5056840399476,1370.3986181811763,59,26.184212236772023,0,0
7,jax_0.1.73,tests/metadata_test.py,90,63,66,2,22,21,32,24,53,100.10749561002054,1.4545454545454546,353.4589273283219,19.636607073795663,243.00301253822133,16,65.75060998549539,0,0
8,jax_0.1.73,tests/optix_test.py,151,87,94,4,8,5,9,12,14,32.0,2.25,112.92631877271644,6.273684376262024,50.18947501009619,20,69.79348658661566,0,0
9,jax_0.1.73,tests/jet_test.py,363,348,299,14,73,45,79,87,124,505.1601617070477,7.575342465753424,6052.130430100534,336.22946833891854,798.9249934852423,103,23.46927770922598,0,0
10,jax_0.1.73,tests/sharded_jit_test.py,497,319,369,9,102,80,160,111,240,709.1167098940733,7.0588235294117645,11510.53982064018,639.4744344800099,1630.6598079240257,46,32.246378291952105,0,0
11,jax_0.1.73,tests/multibackend_test.py,194,131,144,4,24,13,26,28,39,118.03910001730776,2.1666666666666665,406.2214909138675,22.56786060632597,187.48684196024652,18,57.70072530949093,0,0
12,jax_0.1.73,tests/xla_bridge_test.py,61,31,37,3,6,3,6,9,9,20.264662506490406,1.5,42.793987519471216,2.377443751081734,28.529325012980813,9,83.60773021098873,0,0
13,jax_0.1.73,tests/core_test.py,438,322,330,9,120,85,167,129,252,857.3561964860031,6.2625,11064.76829314621,614.7093496192339,1766.82926836666,66,29.46624319825036,0,0
14,jax_0.1.73,tests/debug_nans_test.py,54,28,27,2,4,2,4,6,6,10.0,1.0,15.509775004326936,0.861654166907052,15.509775004326936,8,88.00060678477465,0,0
15,jax_0.1.73,tests/scipy_stats_test.py,460,282,345,7,22,17,29,29,46,117.75898006442377,4.613636363636363,1030.996057556847,57.27755875315817,223.46712577586837,28,45.09731385490748,0,0
