Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
transformers_2.0.0,./hubconf.py,112,27,23,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
transformers_2.0.0,./setup.py,72,5,36,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
transformers_2.0.0,docs/source/conf.py,188,30,61,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
transformers_2.0.0,transformers/configuration_auto.py,135,36,36,1,9,8,16,10,24,28.5293250129808,0.888888888888889,70.8677993575971,3.93709996431095,79.7262742772967,11,56.2265024638736,0,0
transformers_2.0.0,transformers/convert_bert_pytorch_checkpoint_to_original_tf.py,130,48,81,4,7,4,7,11,11,27.6514844544032,2,76.1074956100206,4.2281942005567,38.0537478050103,6,78.8940812814794,0,0
transformers_2.0.0,transformers/modeling_tf_pytorch_utils.py,291,170,168,11,61,42,77,72,119,399.828725396346,6.94262295081967,5097.42008746209,283.190004859005,734.221075171635,44,53.4457794913328,0,0
transformers_2.0.0,transformers/modeling_distilbert.py,695,339,374,15,107,94,160,122,254,779.94032647905,11.214953271028,19742.8854251324,1096.82696806291,1760.40728374097,70,41.6450977682888,0,0
transformers_2.0.0,transformers/modeling_gpt2.py,657,342,391,14,140,139,225,154,364,1051.4025912811,11.25,29757.4908841456,1653.19393800809,2645.11030081294,72,39.9718095850028,0,0
transformers_2.0.0,transformers/modeling_transfo_xl.py,890,534,606,20,209,184,336,229,520,1697.27662050265,16.0765550239234,65534.2433424066,3640.79129680037,4076.38596981041,149,20.4650041314774,0,0
transformers_2.0.0,transformers/convert_openai_original_tf_checkpoint_to_pytorch.py,75,29,45,2,10,6,12,12,18,35.2192809488736,1.2,77.435190015577,4.30195500086539,64.5293250129808,3,83.2786209172969,0,0
transformers_2.0.0,transformers/configuration_roberta.py,35,9,12,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
transformers_2.0.0,transformers/modeling_openai.py,621,337,369,14,135,130,215,149,345,1008.67307451067,11.1481481481482,27765.7242595331,1542.54023664073,2490.61313955945,73,40.0023982001245,0,0
transformers_2.0.0,transformers/modeling_tf_xlm.py,746,348,425,17,124,97,182,141,279,931.807210789228,12.4758064516129,24850.9933698621,1380.61074277012,1991.93482731926,82,39.5482175916748,0,0
transformers_2.0.0,transformers/convert_roberta_original_pytorch_checkpoint_to_pytorch.py,180,103,129,4,10,12,23,14,35,41.2192809488736,4.6,612.984142451274,34.0546745806263,133.257422272016,13,65.0276730030666,0,0
transformers_2.0.0,transformers/tokenization_gpt2.py,230,152,155,11,45,32,62,56,94,285.187137139846,7.57777777777778,4136.64343714743,229.813524285968,545.891362673415,38,54.5588637431171,0,0
transformers_2.0.0,transformers/tokenization_utils.py,991,528,543,14,211,138,266,225,404,1682.45489772602,8.82464454976303,27857.3520072542,1547.63066706968,3156.76760125168,170,22.1241324668551,0,0
transformers_2.0.0,transformers/tokenization_transfo_xl.py,579,401,415,19,135,103,204,154,307,1036.08072835729,14.3555555555556,32025.8586738599,1779.21437076999,2230.90346799333,132,23.1387443233262,0,0
transformers_2.0.0,transformers/convert_pytorch_checkpoint_to_tf2.py,233,99,177,11,38,30,54,49,84,237.474993315867,7.81578947368421,3686.20476818385,204.789153787992,471.635626905678,24,55.6821538773683,0,0
transformers_2.0.0,transformers/modeling_transfo_xl_utilities.py,332,208,198,17,85,82,143,102,225,614.285097872961,14.3,21468.5285377933,1192.69602987741,1501.29570194359,37,50.3276774262534,0,0
transformers_2.0.0,transformers/configuration_utils.py,207,94,95,4,8,6,11,12,17,32,2.75,167.596996908714,9.31094427270634,60.9443625122597,24,69.9170122790468,0,0
transformers_2.0.0,transformers/convert_gpt2_original_tf_checkpoint_to_pytorch.py,75,29,45,2,10,6,12,12,18,35.2192809488736,1.2,77.435190015577,4.30195500086539,64.5293250129808,3,83.2786209172969,0,0
transformers_2.0.0,transformers/optimization.py,189,102,94,15,62,53,99,77,152,427.763530178114,11.9758064516129,11407.5730481101,633.754058228339,952.551554185625,29,60.4353129285914,0,0
transformers_2.0.0,transformers/configuration_xlnet.py,170,68,95,6,11,7,13,17,20,53.5635228093372,3.54545454545455,289.838274197751,16.1021263443195,81.7492568250068,14,73.9507729602612,0,0
transformers_2.0.0,transformers/modeling_utils.py,798,416,412,14,141,156,262,155,418,1059.97970959704,13.0070921985816,39560.0303728801,2197.77946516001,3041.42000140463,115,32.0940864481404,0,0
transformers_2.0.0,transformers/configuration_gpt2.py,143,53,75,3,6,3,6,9,9,20.2646625064904,1.5,42.7939875194712,2.37744375108173,28.5293250129808,11,79.6794608071296,0,0
transformers_2.0.0,transformers/configuration_xlm.py,181,70,111,3,6,3,6,9,9,20.2646625064904,1.5,42.7939875194712,2.37744375108173,28.5293250129808,12,76.8472150021189,0,0
transformers_2.0.0,transformers/tokenization_distilbert.py,62,20,24,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
transformers_2.0.0,transformers/__init__.py,164,61,130,2,6,4,6,8,10,17.5097750043269,1,30,1.66666666666667,30,9,66.7171788354351,0,0
transformers_2.0.0,transformers/file_utils.py,324,223,216,11,74,47,83,85,130,497.553296861553,6.16891891891892,5140.07169060935,285.559538367186,833.220821697901,48,47.5680849228022,0,0
transformers_2.0.0,transformers/modeling_tf_transfo_xl.py,763,396,498,18,134,106,195,152,301,1021.9146015473,13.0970149253731,28572.7906612996,1587.37725896109,2181.62618154652,87,34.2946712769789,0,0
transformers_2.0.0,transformers/modeling_tf_gpt2.py,613,306,357,14,118,103,176,132,279,865.454848733504,10.4406779661017,20519.9618801597,1139.99788223109,1965.38595930101,63,42.7851263454507,0,0
transformers_2.0.0,transformers/modeling_tf_utils.py,485,202,212,12,68,51,94,80,145,456.967023213677,8.29411764705882,7603.04822941013,422.391568300563,916.679573758668,67,47.1067689789109,0,0
transformers_2.0.0,transformers/__main__.py,129,94,115,7,49,31,62,56,93,294.772266816048,4.42857142857143,2391.80060575601,132.87781143089,540.084007751357,30,48.0957080381902,0,0
transformers_2.0.0,transformers/modeling_tf_transfo_xl_utilities.py,175,115,134,12,43,38,73,55,111,276.348934460844,10.1860465116279,6536.70108260795,363.150060144886,641.730928201237,24,53.5469877899339,0,0
transformers_2.0.0,transformers/configuration_openai.py,134,55,79,3,6,3,6,9,9,20.2646625064904,1.5,42.7939875194712,2.37744375108173,28.5293250129808,11,79.4131937025166,0,0
transformers_2.0.0,transformers/convert_xlm_original_pytorch_checkpoint_to_pytorch.py,83,41,48,7,26,17,32,33,49,141.862917126072,4.30769230769231,1064.75518950151,59.1530660834171,247.175311848564,9,74.7696503528646,0,0
transformers_2.0.0,transformers/modeling_tf_distilbert.py,745,330,396,14,90,63,116,104,179,637.569747578477,9.02222222222222,10821.0612461375,601.170069229859,1199.37870954726,62,44.2879780702192,0,0
transformers_2.0.0,transformers/convert_transfo_xl_original_tf_checkpoint_to_pytorch.py,117,60,80,2,12,7,14,14,21,45.0195500086539,1.16666666666667,93.2801955904113,5.18223308835618,79.9544533632097,6,72.6113822717164,0,0
transformers_2.0.0,transformers/tokenization_roberta.py,110,42,58,2,24,14,28,26,42,112.039100017308,1.16666666666667,230.321546188914,12.7956414549396,197.418468161926,6,76.8473598451188,0,0
transformers_2.0.0,transformers/modeling_tf_bert.py,1044,464,561,15,116,90,165,131,255,854.129154368926,10.6681034482759,19133.4874648505,1062.97152582503,1793.52286539205,97,35.0996930945663,0,0
transformers_2.0.0,transformers/convert_xlnet_original_tf_checkpoint_to_pytorch.py,104,42,73,3,6,4,8,9,12,20.2646625064904,2,76.0782000346155,4.22656666858975,38.0391000173078,5,77.9041210932257,0,0
