,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,transformers_4.13.0,./hubconf.py,161,34,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,1,1
1,transformers_4.13.0,./setup.py,389,74,260,3,54,27,54,57,81,315.518812618991,1.5,708.696136721016,39.372007595612,472.464091147344,10,66.8010814119073,6,1
2,transformers_4.13.0,src/transformers/generation_flax_logits_process.py,278,118,129,12,52,42,69,64,111,339.442415351991,7.96153846153846,5302.38461538462,294.576923076923,666.0,31,60.1029884683862,0,0
3,transformers_4.13.0,src/transformers/feature_extraction_utils.py,493,199,226,9,33,20,36,42,56,194.99433095181,4.90909090909091,1482.39708058936,82.3553933660756,301.969775675611,60,52.2277690919912,0,0
4,transformers_4.13.0,src/transformers/modeling_flax_outputs.py,593,196,108,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
5,transformers_4.13.0,src/transformers/modeling_tf_pytorch_utils.py,448,239,287,13,106,77,143,119,220,761.265284519533,8.7688679245283,13301.1441926306,738.952455146143,1516.85990792775,82,41.2308764465498,1,1
6,transformers_4.13.0,src/transformers/activations_tf.py,94,38,44,5,38,22,44,43,66,211.030885985293,2.89473684210526,1036.70216102993,57.5945645016626,358.133473810338,3,76.4843679927853,0,0
7,transformers_4.13.0,src/transformers/optimization_tf.py,351,133,198,12,43,27,51,55,78,276.348934460844,7.11627906976744,3209.05799168387,178.280999537993,450.946057654924,47,57.9345678203759,0,0
8,transformers_4.13.0,src/transformers/convert_tf_hub_seq_to_seq_bert_to_pytorch.py,88,26,58,1,2,1,2,3,3,2.0,0.5,2.37744375108173,0.13208020839343,4.75488750216347,3,90.7293933592469,0,0
9,transformers_4.13.0,src/transformers/debug_utils.py,336,130,132,9,24,16,31,33,47,138.568425030289,5.8125,1378.06541848224,76.5591899156799,237.086523609847,46,57.9462827282061,0,0
10,transformers_4.13.0,src/transformers/tokenization_utils.py,943,392,542,18,175,112,229,193,341,1379.02059459662,11.7771428571429,30491.3508471374,1693.96393595208,2589.02784970842,148,28.7405683428436,0,0
11,transformers_4.13.0,src/transformers/convert_pytorch_checkpoint_to_tf2.py,487,95,426,11,39,31,56,50,87,244.184434340638,7.8974358974359,3877.76334515907,215.431296953281,491.015488510401,26,49.3304787195309,0,0
12,transformers_4.13.0,src/transformers/modeling_flax_utils.py,673,229,329,12,51,34,66,63,100,332.3132424492,7.76470588235294,4641.18205824699,257.843447680389,597.727992349992,61,49.5182933045386,4,1
13,transformers_4.13.0,src/transformers/configuration_utils.py,868,302,348,11,82,48,93,93,141,559.373012183693,6.23780487804878,5751.38953896741,319.521641053745,922.021392366232,91,36.9383912744475,2,1
14,transformers_4.13.0,src/transformers/optimization.py,650,245,281,18,131,113,208,149,321,996.437063227368,14.2900763358779,33115.1526257096,1839.73070142831,2317.35309506835,56,43.7294091010753,1,1
15,transformers_4.13.0,src/transformers/trainer_pt_utils.py,1054,530,558,21,250,191,361,271,552,2083.68473704388,15.162,67642.9321582841,3757.94067546023,4461.34627082734,185,19.3291246176209,3,1
16,transformers_4.13.0,src/transformers/modeling_utils.py,2361,1039,1210,20,329,301,515,349,816,2837.51806345664,15.6534954407295,107896.725075451,5994.26250419173,6892.81991258708,316,0.0,4,1
17,transformers_4.13.0,src/transformers/dependency_versions_table.py,78,2,75,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,5,1
18,transformers_4.13.0,src/transformers/dependency_versions_check.py,47,19,19,4,7,5,9,11,14,27.6514844544032,2.57142857142857,124.539538270943,6.9188632372746,48.4320426609222,7,84.2136442035513,1,1
19,transformers_4.13.0,src/transformers/trainer_utils.py,532,274,286,11,83,54,104,94,158,567.182020606805,6.89156626506024,7137.07857902673,396.504365501485,1035.62503856507,70,44.7743414102305,2,1
20,transformers_4.13.0,src/transformers/__init__.py,3807,714,3670,2,34,24,34,36,58,174.973736602512,1.0,299.855650083654,16.6586472268697,299.855650083654,63,19.8338725681617,6,1
21,transformers_4.13.0,src/transformers/file_utils.py,2521,1098,1657,19,397,265,497,416,762,3508.00971602118,11.8929471032746,78847.0884394278,4380.39380219043,6629.73506522351,271,0.0,6,1
22,transformers_4.13.0,src/transformers/trainer.py,2879,1471,1879,20,590,474,884,610,1358,5517.13553700478,14.9830508474576,188263.826729227,10459.1014849571,12565.1196572674,597,0.0,13,1
23,transformers_4.13.0,src/transformers/modeling_flax_pytorch_utils.py,289,150,177,10,110,85,151,120,236,779.168849436586,6.86363636363636,11187.9069665957,621.550387033094,1630.02618056361,50,49.0889383467679,1,1
24,transformers_4.13.0,src/transformers/modeling_tf_utils.py,1955,830,1010,16,274,206,378,290,584,2282.86079073118,11.036496350365,52722.0815018679,2929.00452788155,4777.06690856872,255,5.46860963555011,5,1
25,transformers_4.13.0,src/transformers/modelcard.py,759,454,536,16,214,154,307,230,461,1720.67393508985,11.4766355140187,41508.3615117759,2306.02008398755,3616.77091348536,156,17.71796379451,1,1
26,transformers_4.13.0,src/transformers/keras_callbacks.py,113,60,74,11,45,28,51,56,79,285.187137139846,6.23333333333333,2859.73514211857,158.874174562143,458.781038842551,28,66.7751616621657,0,0
27,transformers_4.13.0,src/transformers/generation_beam_search.py,399,153,271,19,76,56,105,95,161,555.553113777141,13.125,13882.9261323543,771.273674019685,1057.74675294128,48,50.7332098478019,0,0
