Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
yolov5_4.0,./hubconf.py,141,58,50,3,11,6,12,14,18,42.8086353071738,1.63636363636364,112.143908613333,6.23021714518517,68.5323885970369,12,65.2766746610861,10,1
yolov5_4.0,./train.py,601,397,455,21,268,219,407,289,626,2253.95056892104,15.9458955223881,81603.1757836132,4533.50976575629,5117.50347724543,137,27.9411693823265,27,1
yolov5_4.0,./detect.py,172,128,127,9,50,33,64,59,97,310.722134501717,5.76,3286.75032453945,182.597240252192,570.616375788099,37,57.7170708032095,13,1
yolov5_4.0,./test.py,334,241,257,16,120,76,147,136,223,892.826871473022,9.8,15488.9412932685,860.496738514916,1580.50421359883,70,44.6698214263159,0,0
yolov5_4.0,models/export.py,97,63,63,7,25,17,33,32,50,135.747889198771,4.62,1155,64.1666666666667,250,12,71.550072355537,3,1
yolov5_4.0,models/common.py,296,210,205,14,56,48,94,70,142,378.514844544032,11.75,10226.7087137727,568.150484098482,870.358188406185,77,47.5900360002996,10,1
yolov5_4.0,models/experimental.py,133,93,96,12,45,35,66,57,101,290.152939343489,8.8,5184.27264458962,288.015146921646,589.121891430639,33,60.9825217802473,7,1
yolov5_4.0,models/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_4.0,models/yolo.py,286,216,207,17,141,112,199,158,311,1076.16360898949,11.9964539007092,27249.6548734286,1513.86971519048,2271.47581268308,79,44.1667507473676,13,1
yolov5_4.0,utils/torch_utils.py,284,186,188,15,133,84,163,148,247,996.955922855786,9.19172932330827,16368.0339447512,909.335219152842,1780.73498131035,73,46.506598224912,9,1
yolov5_4.0,utils/loss.py,205,149,139,11,101,84,164,112,248,710.533107562942,8.93069306930693,15077.0105608376,837.611697824311,1688.22402067029,18,56.7634261257436,1,1
yolov5_4.0,utils/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_4.0,utils/google_utils.py,115,65,65,10,48,27,51,58,78,301.297480983489,5.3125,2427.40087485599,134.855604158666,456.922517619951,21,67.0848847882489,9,1
yolov5_4.0,utils/autoanchor.py,152,104,97,12,83,59,109,95,168,572.147822810449,7.87951807228916,8696.90572769323,483.16142931629,1103.7357421996,13,61.591252507134,1,1
yolov5_4.0,utils/activations.py,72,49,49,4,22,17,34,26,51,106.107495610021,3.09090909090909,740.960224659696,41.1644569255387,239.722425625196,8,68.9361978028643,0,0
yolov5_4.0,utils/datasets.py,1034,741,713,22,572,458,883,594,1341,5337.55390024726,16.9807692307692,209821.209882645,11656.7338823692,12356.4019409938,189,12.2157980950797,18,1
yolov5_4.0,utils/metrics.py,200,135,118,13,95,67,122,108,189,672.241999127274,8.34736842105263,10656.8660438079,592.048113544886,1276.6737379089,30,56.9653725936159,0,0
yolov5_4.0,utils/plots.py,413,325,309,17,168,117,230,185,347,1311.39619532809,11.6369047619048,30411.7631672164,1689.54239817869,2613.38936679916,65,38.2396376947531,8,1
yolov5_4.0,utils/general.py,451,332,290,17,336,212,413,353,625,2889.30552235492,10.4479166666667,55266.3733488997,3070.35407493887,5289.70273329449,72,38.3490133295012,22,1
yolov5_6.0,./export.py,364,226,267,10,32,20,37,42,57,193.219280948874,5.78125,1776.93710072506,98.7187278180591,307.362093098389,41,52.7046498049766,5,1
yolov5_6.0,./hubconf.py,142,71,72,6,20,11,22,26,33,101.948336902074,3.3,511.877885305565,28.4376602947536,155.114510698656,14,71.1974039961524,7,1
yolov5_6.0,./train.py,620,394,463,21,256,215,396,277,611,2140.23866587835,16.2421875,80520.5870900401,4473.36594944667,4957.49646345606,124,29.7591674097608,46,1
yolov5_6.0,./detect.py,307,230,253,15,109,72,141,124,213,796.335450334813,9.70183486238532,14370.7828754483,798.376826413796,1481.2438141124,64,46.339081627982,22,1
yolov5_6.0,./val.py,360,259,267,19,136,83,161,155,244,1044.60556916547,11.2463235294118,19966.4343808789,1109.24635449327,1775.37435488691,69,44.2934121550393,13,1
yolov5_6.0,models/common.py,469,344,343,16,95,84,167,111,251,688.13628279144,14.0631578947368,23983.2867258777,1332.40481810432,1705.39838245388,117,34.7831036070667,16,1
yolov5_6.0,models/experimental.py,119,86,85,12,45,32,59,57,91,290.152939343489,7.86666666666667,4175.5715314734,231.976196192967,530.792991288992,33,62.6759311905018,6,1
yolov5_6.0,models/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_6.0,models/tf.py,450,309,324,17,142,114,210,159,324,1084.75095927092,12.5704225352113,29784.0332983039,1654.66851657244,2369.37407751213,101,35.5007237144184,6,1
yolov5_6.0,models/yolo.py,327,270,257,17,167,123,220,184,343,1302.56548514442,11.1976047904192,28896.3345762547,1605.35192090304,2580.58175092756,94,39.5322161126502,11,1
yolov5_6.0,utils/augmentations.py,278,201,185,15,199,132,255,214,387,1578.29165842231,9.6105527638191,28792.7136766205,1599.59520425669,2995.94772373724,42,48.9168172672519,1,1
yolov5_6.0,utils/torch_utils.py,340,226,227,16,146,93,180,162,273,1113.71438559648,9.86301369863014,19763.3002269452,1097.96112371918,2003.7790507875,85,42.7779331334774,3,1
